,ibns_20u,vgs_m1,name,type,time,OK
0,20.34544,0.6837019,tran_SchGtKttmmTtVt_29,Sch,Thu Jan 22 14:06:42 2026,True
1,20.55564,0.6857402,tran_SchGtKttmmTtVt_28,Sch,Thu Jan 22 14:06:42 2026,True
2,20.40013,0.6859154,tran_SchGtKttmmTtVt_27,Sch,Thu Jan 22 14:06:41 2026,True
3,20.08953,0.6843059,tran_SchGtKttmmTtVt_26,Sch,Thu Jan 22 14:06:41 2026,True
4,21.294,0.6867378,tran_SchGtKttmmTtVt_25,Sch,Thu Jan 22 14:06:41 2026,False
5,21.03603,0.687682,tran_SchGtKttmmTtVt_24,Sch,Thu Jan 22 14:06:41 2026,False
6,21.3791,0.6906438,tran_SchGtKttmmTtVt_23,Sch,Thu Jan 22 14:06:40 2026,False
7,20.228160000000003,0.684739,tran_SchGtKttmmTtVt_22,Sch,Thu Jan 22 14:06:40 2026,True
8,20.47551,0.6854278,tran_SchGtKttmmTtVt_21,Sch,Thu Jan 22 14:06:40 2026,True
9,21.02122,0.6880055,tran_SchGtKttmmTtVt_20,Sch,Thu Jan 22 14:06:40 2026,False
10,21.509619999999998,0.6885048,tran_SchGtKttmmTtVt_19,Sch,Thu Jan 22 14:06:39 2026,False
11,20.2391,0.6838138,tran_SchGtKttmmTtVt_18,Sch,Thu Jan 22 14:06:39 2026,True
12,21.255969999999998,0.6867128,tran_SchGtKttmmTtVt_17,Sch,Thu Jan 22 14:06:39 2026,False
13,20.73006,0.6850831,tran_SchGtKttmmTtVt_16,Sch,Thu Jan 22 14:06:39 2026,True
14,20.60197,0.6837734,tran_SchGtKttmmTtVt_15,Sch,Thu Jan 22 14:06:39 2026,True
15,21.85216,0.6904263,tran_SchGtKttmmTtVt_14,Sch,Thu Jan 22 14:06:38 2026,False
16,21.76584,0.6889298,tran_SchGtKttmmTtVt_13,Sch,Thu Jan 22 14:06:38 2026,False
17,18.543190000000003,0.680686,tran_SchGtKttmmTtVt_12,Sch,Thu Jan 22 14:06:38 2026,False
18,19.68486,0.6835448,tran_SchGtKttmmTtVt_11,Sch,Thu Jan 22 14:06:38 2026,True
19,19.58898,0.6848012,tran_SchGtKttmmTtVt_10,Sch,Thu Jan 22 14:06:37 2026,True
20,19.950680000000002,0.6832168,tran_SchGtKttmmTtVt_9,Sch,Thu Jan 22 14:06:37 2026,True
21,19.47832,0.683026,tran_SchGtKttmmTtVt_8,Sch,Thu Jan 22 14:06:37 2026,True
22,20.81942,0.68675,tran_SchGtKttmmTtVt_7,Sch,Thu Jan 22 14:06:37 2026,True
23,20.53958,0.6870091,tran_SchGtKttmmTtVt_6,Sch,Thu Jan 22 14:06:36 2026,True
24,20.0577,0.6851508,tran_SchGtKttmmTtVt_5,Sch,Thu Jan 22 14:06:36 2026,True
25,22.13306,0.6897972,tran_SchGtKttmmTtVt_4,Sch,Thu Jan 22 14:06:36 2026,False
26,20.3888,0.6858457,tran_SchGtKttmmTtVt_3,Sch,Thu Jan 22 14:06:36 2026,True
27,20.76144,0.6858454,tran_SchGtKttmmTtVt_2,Sch,Thu Jan 22 14:06:36 2026,True
28,18.613120000000002,0.6806918,tran_SchGtKttmmTtVt_1,Sch,Thu Jan 22 14:06:35 2026,False
29,19.4319,0.6826804,tran_SchGtKttmmTtVt,Sch,Thu Jan 22 14:06:35 2026,True
